
|Date A2/12/2|AuthorBOUT019|TargetSUBM|DescriptionIT AN ATTACK CYBER2|AttackATTAC018: A Yea|TargetKCSla TssIMELr of Cyber At|AttaIcNkEtacks – HClass|Country CACKM|LinkYBERAGEDD|Col10|Col11|
|---|---|---|---|---|---|---|---|---|---|---|
|02/10/2018|?|AndroidUsers inJapanandKorea|Researchers from Fortinetunveil a new round of attackcarried on via the FakeSpyAndroid malware.|Malware/PoSMalware|XIndividual|CyberCrime|>1|Link(https://news.softpedia.com/news/fakespy­is­back­as­part­of­new­smishing­campaign­adds­new­features­523040.shtml)|Link(https://news.softpedia.com/news/fakespy­is­back­as­part­of­new­smishing­campaign­adds­new­features­523040.shtml)|Link(https://news.softpedia.com/news/fakespy­is­back­as­part­of­new­smishing­campaign­adds­new­features­523040.shtml)|
|02/10/2018|?|AndroidUsers inJapanandKorea|Researchers from Fortinetunveil a new round of attackcarried on via the FakeSpyAndroid malware.|Malware/PoSMalware|XIndividual|CyberCrime|>1|Link(https://news.softpedia.com/news/fakespy­is­back­as­part­of­new­smishing­campaign­adds­new­features­523040.shtml)|Link||
|02/10/2018|?|AndroidUsers inJapanandKorea|Researchers from Fortinetunveil a new round of attackcarried on via the FakeSpyAndroid malware.|Malware/PoSMalware|XIndividual|CyberCrime|>1|Link(https://news.softpedia.com/news/fakespy­is­back­as­part­of­new­smishing­campaign­adds­new­features­523040.shtml)|Link||
|02/10/2018|?|City ofRegina|A city of Regina email ishacked, and used as aphishing tool to try and getpasswords and emails fromother city of Regina staff aswell as external groups.|AccountHijacking|O Publicadministration,defence,compulsory socialsecurity|CyberCrime|CA|Link(https://globalnews.ca/news/4521346/city­of­regina­email­hacked­experts­warn­citys­website­unsafe­as­well/)|Link(https://globalnews.ca/news/4521346/city­of­regina­email­hacked­experts­warn­citys­website­unsafe­as­well/)|Link(https://globalnews.ca/news/4521346/city­of­regina­email­hacked­experts­warn­citys­website­unsafe­as­well/)|
|02/10/2018|?|City ofRegina|A city of Regina email ishacked, and used as aphishing tool to try and getpasswords and emails fromother city of Regina staff aswell as external groups.|AccountHijacking|O Publicadministration,defence,compulsory socialsecurity|CyberCrime|CA|Link(https://globalnews.ca/news/4521346/city­of­regina­email­hacked­experts­warn­citys­website­unsafe­as­well/)|Link||
|02/10/2018|?|City ofRegina|A city of Regina email ishacked, and used as aphishing tool to try and getpasswords and emails fromother city of Regina staff aswell as external groups.|AccountHijacking|O Publicadministration,defence,compulsory socialsecurity|CyberCrime|CA|Link(https://globalnews.ca/news/4521346/city­of­regina­email­hacked­experts­warn­citys­website­unsafe­as­well/)|Link||
|02/10/2018|?|WhatsApp Usersin Israel|A wave of reports abouthijacked WhatsApp accountsin Israel has forced thegovernment's cyber­securityagency to send out a nation­wide security alert.|AccountHijacking|XIndividual|CyberCrime|IL|Link(https://www.zdnet.com/article/recent­wave­of­hijacked­whatsapp­accounts­traced­back­to­voicemail­hacking/)|Link(https://www.zdnet.com/article/recent­wave­of­hijacked­whatsapp­accounts­traced­back­to­voicemail­hacking/)|Link(https://www.zdnet.com/article/recent­wave­of­hijacked­whatsapp­accounts­traced­back­to­voicemail­hacking/)|
|02/10/2018|?|WhatsApp Usersin Israel|A wave of reports abouthijacked WhatsApp accountsin Israel has forced thegovernment's cyber­securityagency to send out a nation­wide security alert.|AccountHijacking|XIndividual|CyberCrime|IL|Link(https://www.zdnet.com/article/recent­wave­of­hijacked­whatsapp­accounts­traced­back­to­voicemail­hacking/)|Link||
|02/10/2018|?|WhatsApp Usersin Israel|A wave of reports abouthijacked WhatsApp accountsin Israel has forced thegovernment's cyber­securityagency to send out a nation­wide security alert.|AccountHijacking|XIndividual|CyberCrime|IL|Link(https://www.zdnet.com/article/recent­wave­of­hijacked­whatsapp­accounts­traced­back­to­voicemail­hacking/)|Link||
